Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,,35973.78051,,,,,
Afghanistan,AFG,1581.600836,1660.739856,1873.153946,1913.160644,1933.399713,1926.357336,1944.117005
Angola,AGO,5775.864013,5911.254334,6109.136612,6400.673376,6581.620658,6635.24275,6454.13537
Albania,ALB,9637.345368,10207.7647,10526.24122,10570.953,11259.2645,11282.79358,11540.02556
Andorra,AND,,,,,,,
Arab World,ARB,14071.01489,14445.863,15113.64097,15548.2009,15902.75625,16302.36376,16726.72218
United Arab Emirates,ARE,56415.07405,58404.01559,60914.80308,64713.13121,67420.11699,70254.83157,72399.65347
Argentina,ARG,18333.5437,19629.35185,19579.00648,20161.49683,19762.89261,20340.29242,19939.93077
Armenia,ARM,6567.258582,7022.103943,7649.491409,7997.387128,8380.473242,8727.558325,8832.763435
American Samoa,ASM,,,,,,,
Antigua and Barbuda,ATG,18824.07315,18605.31675,19398.05948,19480.1026,20579.04482,21462.28694,22661.48854
Australia,AUS,39227.26854,41782.28494,42589.5008,45604.73398,46571.85698,46095.16556,46012.32845
Austria,AUT,42047.03268,44452.73275,46457.34578,47924.58104,48814.79955,49938.10629,50551.55318
Azerbaijan,AZE,15627.60562,15754.15236,16180.88715,17171.76137,17573.50673,17782.02615,17256.62697
Burundi,BDI,748.3806576,771.5094237,793.0801921,818.2852133,844.4196327,796.9608114,777.7528517
Belgium,BEL,40091.00999,41248.72534,42354.63149,43519.77792,44626.98686,45430.90738,46428.67142
Benin,BEN,1781.987066,1820.894693,1890.02902,2002.051409,2103.896786,2116.063638,2167.642823
Burkina Faso,BFA,1394.584727,1472.716482,1549.480266,1616.779271,1663.594156,1699.87989,1771.015287
Bangladesh,BGD,2393.315832,2570.850145,2756.443467,2934.644352,3125.721575,3335.759791,3579.756791
Bulgaria,BGR,14948.58957,15676.14413,16208.21527,16631.65872,17508.89053,18115.23507,19242.62262
Bahrain,BHR,39749.84938,40164.58274,41714.84361,44168.37795,46088.60291,46775.74033,
"Bahamas, The",BHS,22431.92995,22674.72782,23453.63549,23370.53726,23145.31985,22448.52703,22516.81648
Bosnia and Herzegovina,BIH,9314.886031,9901.610202,10181.91323,10825.84002,11164.20573,11526.42439,12172.06647
Belarus,BLR,15906.7562,17166.69564,17801.9187,18271.75429,18865.73149,18347.1407,18066.30066
Belize,BLZ,7715.950318,7855.698287,8121.152942,8179.049883,8416.605121,8584.225635,8461.535653
Bermuda,BMU,55254.21412,54984.51039,53097.69629,52436.05641,,,
Bolivia,BOL,5298.084512,5598.508445,5899.641861,6303.06642,6649.637614,6955.18277,7234.195243
Brazil,BRA,14244.97879,14973.09847,15396.62234,15968.29208,16160.3711,15617.32128,15123.85001
Barbados,BRB,16124.99483,16472.0832,16763.8855,16980.44401,17200.74792,17527.83285,18064.60443
Brunei Darussalam,BRN,78923.39047,82434.88309,83504.30252,81827.27346,79996.83808,79439.06245,77420.61217
Bhutan,BTN,6289.814364,6805.878456,7162.293474,7317.337414,7744.725501,8245.605306,8900.764553
Botswana,BWA,13064.46624,13889.27047,14506.88523,16111.10915,16731.96523,16352.5457,16956.72477
Central African Republic,CAF,870.0440809,911.6559469,963.5640139,618.5146823,632.690497,667.0426652,698.7066557
Canada,CAN,40027.24021,41565.27122,42145.09786,44101.47145,45358.24757,44452.2499,44644.16959
Central Europe and the Baltics,CEB,20752.13604,22167.70676,22954.94512,23970.5596,24949.27382,25830.73692,26850.50448
Switzerland,CHE,53119.38653,56183.83259,57849.58399,60108.51635,61902.16241,63648.28802,63888.73239
Channel Islands,CHI,,,,,,,
Chile,CHL,18265.34253,20437.70453,21620.28097,22578.72892,23014.01059,22647.46182,23193.97411
China,CHN,9333.124237,10384.3666,11351.06206,12367.96501,13413.86583,14450.09499,15529.08411
Cote d'Ivoire,CIV,2635.837771,2511.420195,2762.341426,2980.26506,3211.399958,3451.877418,3693.436909
Cameroon,CMR,2870.562687,2969.047575,3076.858139,3208.268326,3360.510092,3502.407887,3609.375597
"Congo, Dem. Rep.",COD,597.0769873,629.8563888,664.8017801,708.9596215,762.9998565,799.1779345,802.2528421
"Congo, Rep.",COG,5081.432145,5213.946921,5368.26569,5502.482873,5822.458645,5902.429651,5717.290371
Colombia,COL,10680.00301,11496.47771,12058.34376,12725.04373,13368.99359,13827.67279,14153.92793
Comoros,COM,1383.929694,1414.611723,1448.427686,1487.110507,1505.633406,1504.716581,1521.857218
Cabo Verde,CPV,5710.344252,5991.77849,6097.221556,6171.857986,6232.640609,6302.494396,6551.318948
Costa Rica,CRI,12737.02018,13397.23054,14133.68818,14524.6715,15131.14296,15881.60847,16609.73935
Caribbean small states,CSS,13919.30517,14274.87214,14625.23403,15030.95901,15235.32808,15342.87217,15370.6349
Cuba,CUB,,,,,,,
Curacao,CUW,,,,,,,
Cayman Islands,CYM,,49903.02854,,,,,
Cyprus,CYP,33263.01583,33192.59298,31914.62435,30620.70715,30383.51482,31523.92688,32707.87289
Czech Republic,CZE,27694.40198,28797.41796,29047.24644,30485.71415,32263.31575,33468.7265,34749.21236
Germany,DEU,39225.59999,42692.51976,43564.14802,45232.19785,47092.48837,47810.83601,48860.52529
Djibouti,DJI,2581.41661,2705.405589,2838.674473,2976.37808,3150.848394,3342.900766,
Dominica,DMA,9991.976426,10135.27417,10164.9586,10215.87885,10781.8716,10586.77029,10947.71519
Denmark,DNK,43041.54202,44403.39415,44803.96224,46726.85332,47901.44758,48674.84075,49029.01484
Dominican Republic,DOM,10898.51719,11320.90306,11702.34609,12302.17342,13288.1698,14238.86152,15204.93246
Algeria,DZA,12610.24805,12990.34502,13404.41178,13715.74358,14175.77223,14614.97043,15013.29638
East Asia & Pacific (excluding high income),EAP,8740.63201,9588.01792,10415.66029,11253.64169,12105.82496,12954.55391,13839.96864
Early-demographic dividend,EAR,6878.67696,7297.63619,7609.552828,7976.964156,8387.017587,8752.025115,9175.578565
East Asia & Pacific,EAS,11717.79507,12605.00935,13472.95676,14396.13149,15229.61986,16099.99654,17021.07907
Europe & Central Asia (excluding high income),ECA,15247.08281,17307.72036,18214.03364,18925.3282,19383.10318,19200.95938,19516.08298
Europe & Central Asia,ECS,26017.03566,27769.77391,28487.72676,29489.44756,30242.14514,30640.67318,31361.70678
Ecuador,ECU,9163.159136,9926.903441,10512.31875,11037.34677,11461.25893,11446.36514,11242.04752
"Egypt, Arab Rep.",EGY,9658.065215,9823.823287,10003.35422,10156.41485,10387.17466,10750.4563,11128.80247
Euro area,EMU,35853.55839,37437.94846,37805.12114,38988.63393,39919.30629,40852.15509,42059.77838
Eritrea,ERI,1387.714663,1510.458929,,,,,
Spain,ESP,31954.24275,32068.27093,31988.25387,32603.90577,33709.64924,34818.12051,36304.85427
Estonia,EST,21602.74074,24543.06747,26022.46885,27495.73442,28538.42864,28688.96877,29743.33743
Ethiopia,ETH,1052.104262,1162.783317,1253.243318,1371.981671,1497.683309,1632.551806,1734.464075
European Union,EUU,33272.13257,34726.20674,35275.74658,36489.11472,37499.29743,38446.86274,39602.09839
Fragile and conflict affected situations,FCS,3692.101665,3491.570898,3710.157043,3900.938514,4006.916507,4068.599946,4254.462428
Finland,FIN,38775.17486,40683.52758,40620.17607,41293.51577,41470.20236,42066.57477,43346.38234
Fiji,FJI,7203.365693,7488.829381,7676.778708,8113.236154,8644.506169,9027.542442,9109.951963
France,FRA,35992.51391,37457.28486,37645.31085,39487.83676,40091.74013,40468.50972,41343.29254
Faroe Islands,FRO,,,,,,,
"Micronesia, Fed. Sts.",FSM,3230.949855,3412.906554,3405.472279,3320.56348,3290.797828,3483.455937,3508.715192
Gabon,GAB,15045.16656,15893.51623,16457.15884,17078.22167,17534.98169,17928.70298,18102.86222
United Kingdom,GBR,35875.45628,36607.98109,37705.59422,39308.13457,40707.20099,41579.86341,42608.72209
Georgia,GEO,6597.568549,7315.090898,8026.507187,8541.81226,9198.467518,9610.543382,10004.52841
Ghana,GHA,2997.525954,3404.459566,3699.347805,3940.08737,4067.261862,4184.577618,4292.4489
Gibraltar,GIB,,,,,,,
Guinea,GIN,1543.514487,1625.572663,1715.164157,1771.360378,1823.804571,1866.77458,1966.379688
"Gambia, The",GMB,1610.968127,1524.756024,1589.059076,1639.997189,1629.81599,1669.731847,1676.864773
Guinea-Bissau,GNB,1372.035301,1475.38909,1438.981059,1470.899683,1470.061417,1540.293033,1608.704379
Equatorial Guinea,GNQ,33041.18835,34363.15291,36288.40627,33877.54224,33162.37069,29361.06805,26058.07744
Greece,GRC,28175.85552,26141.31959,25284.46408,26097.8719,26838.45523,26697.2485,26778.50497
Grenada,GRD,10951.88411,11220.82837,11252.02342,11655.40746,12656.70436,13585.50464,14200.00719
Greenland,GRL,,,,,,,
Guatemala,GTM,6578.247295,6844.49564,7026.193874,7249.278756,7514.484159,7765.757271,7944.691353
Guam,GUM,,,,,,,
Guyana,GUY,5729.563121,6130.837616,6538.376581,6931.415089,7265.446338,7533.071647,7836.379176
High income,HIC,39220.95832,40793.75786,41920.39232,43339.66042,44540.77181,45731.94956,46847.33264
"Hong Kong SAR, China",HKG,47134.56897,50085.95933,51306.3272,53536.28805,55500.44808,57071.67055,58617.97063
Honduras,HND,3890.851407,4046.076252,4213.02445,4323.244467,4448.623998,4590.818455,4736.839143
Heavily indebted poor countries (HIPC),HPC,1781.811458,1856.220612,1946.410616,2036.668668,2126.329761,2201.975423,2270.19668
Croatia,HRV,19186.96292,20704.43719,21133.0001,21661.50204,21846.82518,22492.06515,23422.41798
Haiti,HTI,1471.648649,1562.278874,1614.025896,1686.171533,1737.736862,1758.33446,1783.71513
Hungary,HUN,21555.85911,22841.21034,23094.47333,24463.19947,25524.71762,26147.53737,26700.75608
IBRD only,IBD,9290.0201,10065.17245,10657.42171,11261.66966,11851.18828,12336.30343,12935.00978
IDA & IBRD total,IBT,7760.94839,8363.853748,8827.022477,9303.77098,9768.640587,10138.55755,10588.83711
IDA total,IDA,2863.607854,2981.580552,3109.050205,3265.774611,3429.467136,3534.624955,3628.016192
IDA blend,IDB,4196.825653,4370.812979,4541.253422,4745.652425,4981.451928,5130.713678,5201.033971
Indonesia,IDN,8262.899269,8837.820122,9421.586953,9979.517292,10516.79585,11040.19008,11609.02662
IDA only,IDX,2191.69166,2280.205156,2385.754841,2518.329333,2644.74351,2726.946298,2834.105811
Isle of Man,IMN,,,,,,,
India,IND,4315.596024,4635.879137,4916.48579,5250.512363,5666.701946,6127.298795,6570.616246
Not classified,INX,,,,,,,
Ireland,IRL,43298.69398,45179.83081,46501.99241,48333.90783,51441.76869,69394.41599,71472.29654
"Iran, Islamic Rep.",IRN,17579.87394,18192.1056,16932.17721,16954.51316,17793.33993,17571.22224,19948.81948
Iraq,IRQ,12460.33797,13261.60145,14895.39198,15603.90725,15451.38389,15897.24031,17348.93653
Iceland,ISL,38373.92718,39465.84594,40486.93782,42631.07549,44224.04035,47055.16072,50104.15434
Israel,ISR,28828.32153,30558.39128,31708.08711,34128.95648,34086.54876,35888.87589,37258.22359
Italy,ITA,35042.19537,36347.34248,36237.11043,36131.13211,36070.8056,36629.69969,38370.46177
Jamaica,JAM,7834.270978,8099.155573,8163.702832,8305.304125,8464.714204,8620.356524,8821.31143
Jordan,JOR,9281.147212,9214.206624,9129.389779,9062.040519,9064.976238,9041.817565,9047.768923
Japan,JPN,35000.32121,35774.69671,37191.38595,38974.07949,39165.58446,40607.06321,42203.32329
Kazakhstan,KAZ,19690.38497,21277.70637,22392.20367,23773.81933,24797.31411,25048.05081,25285.94773
Kenya,KEN,2425.760617,2556.870916,2650.443328,2776.526567,2894.408124,3019.57611,3155.114264
Kyrgyz Republic,KGZ,2733.729337,2920.60321,2922.702873,3229.349349,3345.034819,3447.60825,3552.091789
Cambodia,KHM,2471.891474,2658.709247,2858.71357,3069.58846,3284.768144,3504.418254,3736.964612
Kiribati,KIR,1696.511974,1706.480953,1794.518408,1894.779074,1908.344427,2094.909432,2108.537228
St. Kitts and Nevis,KNA,20979.06198,21689.30389,21711.94624,23180.10555,24688.97822,25737.62429,26382.78803
"Korea, Rep.",KOR,30376.87182,31228.5107,32097.164,32615.77259,33587.5834,35203.73414,36532.47268
Kuwait,KWT,73682.86838,77459.53831,79047.76387,76667.70633,74469.38342,72918.00376,74263.99863
Latin America & Caribbean (excluding high income),LAC,12896.03874,13704.63994,14154.50154,14618.01343,14880.54269,14776.53016,14732.4839
Lao PDR,LAO,4133.441868,4495.15215,4882.41856,5293.963358,5715.672222,6128.358238,6549.668
Lebanon,LBN,16118.96329,15693.68728,15334.65,14902.76348,14541.68299,14218.82972,14308.75113
Liberia,LBR,685.5006861,734.3262738,786.1243216,847.1320298,846.0461305,836.181489,812.6739438
Libya,LBY,29030.84338,11192.79064,,,,,
St. Lucia,LCA,11559.75982,12112.40013,12183.79012,12343.14459,12373.08687,12729.77421,12952.72517
Latin America & Caribbean,LCN,13280.03116,14120.77406,14595.89948,15077.84424,15347.27917,15237.74349,15210.45441
Least developed countries: UN classification,LDC,2069.547261,2145.452356,2235.055691,2354.795308,2469.538544,2536.933129,2622.119557
Low income,LIC,1338.689756,1408.213222,1452.72065,1523.970032,1600.069348,1653.017898,1701.452462
Liechtenstein,LIE,,,,,,,
Sri Lanka,LKA,8357.02875,9193.358235,10164.08015,10625.53099,11277.38616,11922.64492,12552.41331
Lower middle income,LMC,4907.456962,5197.031787,5479.460972,5789.291739,6129.659988,6464.730375,6802.204531
Low & middle income,LMY,7611.639556,8202.150784,8660.531693,9133.270918,9596.157998,9965.98545,10415.14648
Lesotho,LSO,2317.828928,2500.014871,2665.514149,2722.742905,2814.685099,2883.811087,2951.021894
Late-demographic dividend,LTE,11549.59852,12708.1797,13616.71881,14478.29357,15269.44534,15940.86314,16691.98356
Lithuania,LTU,20110.33897,22854.33466,24657.83806,26692.89995,28191.13472,28709.75519,29838.4741
Luxembourg,LUX,85696.99591,92005.01684,91622.17742,95590.5387,101640.0534,102517.1382,102389.4377
Latvia,LVA,17575.7297,19773.38372,21252.71853,22721.1158,23871.88217,24543.21002,25587.38809
"Macao SAR, China",MAC,96198.24303,116752.2116,126863.432,140037.2238,137470.0208,106959.8396,105420.4142
St. Martin (French part),MAF,,,,,,,
Morocco,MAR,6312.915427,6688.402606,6916.435024,7239.873106,7442.416163,7770.245991,7857.487717
Monaco,MCO,,,,,,,
Moldova,MDA,3831.749187,4179.214809,4226.959198,4700.234439,5007.37262,5054.682473,5332.287773
Madagascar,MDG,1357.654563,1367.543082,1396.203885,1411.918029,1442.480848,1466.497462,1506.238325
Maldives,MDV,11762.6497,12664.99067,12843.89776,13607.20298,14442.89653,14593.97287,15347.99776
Middle East & North Africa,MEA,16463.22454,16965.5368,17351.2686,17792.92087,18279.30888,18636.06861,19515.40261
Mexico,MEX,14764.81003,15922.89816,16457.09495,16683.30143,17270.12221,16983.46421,17274.82307
Marshall Islands,MHL,3408.776762,3513.291213,3693.225389,3850.700775,3874.728836,3903.127907,4022.978632
Middle income,MIC,8285.258843,8943.23312,9459.201155,9989.933423,10510.80484,10932.0111,11443.62769
"Macedonia, FYR",MKD,11284.80918,11611.85199,11841.01259,12655.53657,13370.02058,13766.31883,14942.19764
Mali,MLI,1834.117059,1874.70303,1838.190576,1856.267363,1960.945607,2043.718105,2125.716027
Malta,MLT,27836.06147,28609.93107,29457.71787,31256.67451,33739.92378,35873.82079,37928.34127
Myanmar,MMR,3645.936435,3898.414627,4225.119352,4613.339782,5014.975204,5384.869389,5721.228004
Middle East & North Africa (excluding high income),MNA,11573.54552,11532.35573,11564.00466,11795.34346,12142.33221,12259.204,13113.97108
Montenegro,MNE,13648.23275,14472.47354,13863.8542,14870.14159,15371.15023,16272.19565,17633.13298
Mongolia,MNG,7552.665586,8881.48475,9969.140218,11093.85011,11931.45507,12152.17138,12252.2772
Northern Mariana Islands,MNP,,,,,,,
Mozambique,MOZ,899.1987281,954.7991162,1012.437187,1070.663568,1135.275572,1190.752224,1216.792787
Mauritania,MRT,3249.876929,3371.994582,3526.34393,3689.8449,3843.110323,3835.23106,3852.525904
Mauritius,MUS,15616.00684,16561.77098,17408.1887,18243.51278,19193.3966,20087.71538,21102.55892
Malawi,MWI,1012.067458,1051.185996,1058.912262,1099.200591,1146.362818,1159.319842,1168.825626
Malaysia,MYS,20680.29685,21818.87569,23006.92553,24033.97126,25437.14494,26623.32837,27682.60794
North America,NAC,47548.70026,48975.37667,50523.41589,51918.15581,53671.40126,55262.17413,56327.27354
Namibia,NAM,8289.696027,8721.255524,9132.342914,9578.383485,10111.29664,10610.54677,10624.92711
New Caledonia,NCL,,,,,,,
Niger,NER,797.5117415,801.6042311,878.47678,904.2634903,950.5971586,963.2548455,986.2069606
Nigeria,NGA,5045.978167,5259.295504,5437.807117,5670.102575,5963.180027,6038.462315,5861.089656
Nicaragua,NIC,3947.216766,4231.497518,4535.284737,4779.773333,5030.554561,5282.699236,5539.826716
Netherlands,NLD,44542.83655,46066.65241,46707.26971,48666.31785,48606.25361,49527.66966,50538.60657
Norway,NOR,58022.03349,62145.02615,65447.49582,67056.11704,66015.4403,61722.23991,58790.21229
Nepal,NPL,1945.806681,2031.087465,2142.098495,2239.403285,2382.563782,2464.389033,2477.903345
Nauru,NRU,6459.080878,7339.304367,8050.704559,10429.8055,13206.53713,13066.20362,13966.49778
New Zealand,NZL,31265.12369,32734.53667,32986.03121,36169.44879,37235.08017,37426.28366,38565.08464
OECD members,OED,35164.41741,36573.62258,37532.19909,38800.40706,39902.93967,40900.23933,41869.74045
Oman,OMN,44417.76799,42121.26213,43822.19822,43386.32651,42351.39779,42742.54249,
Other small states,OSS,20791.85147,22387.05973,23117.17999,23789.5314,24399.61598,24736.99618,25022.37398
Pakistan,PAK,4196.955809,4309.763713,4447.90271,4619.744539,4811.238323,5000.283839,5235.478085
Panama,PAN,15107.42948,16939.88317,18518.8416,19721.9435,20892.35271,22015.32668,23008.66537
Peru,PER,9755.149148,10449.09326,11145.5119,11828.80684,12138.29893,12530.81549,13018.60861
Philippines,PHL,5483.620944,5707.204842,6099.120754,6526.650182,6924.11344,7320.498539,7804.167801
Palau,PLW,12160.88774,12963.12167,13605.45197,13435.52717,14274.12288,15954.23307,16305.48534
Papua New Guinea,PNG,3127.017879,3155.403568,3290.073861,3397.008756,3801.801841,4117.312778,4182.539341
Poland,POL,21068.85123,22850.63885,23833.2097,24719.24751,25602.41744,26594.75786,27383.25494
Pre-demographic dividend,PRE,3120.857592,3238.124309,3384.449574,3527.400972,3645.328603,3718.545052,3775.131128
Puerto Rico,PRI,33237.81691,34195.64085,35259.80601,36130.99367,36866.85682,37580.98676,37740.88826
"Korea, Dem. People’s Rep.",PRK,,,,,,,
Portugal,PRT,27334.8116,26780.21491,26454.1026,27899.50947,28746.65308,29532.38116,30606.65145
Paraguay,PRY,7142.057039,7504.653644,7447.108184,8514.08188,8938.138765,9199.669384,9567.339128
West Bank and Gaza,PSE,4088.336765,4356.341825,4931.002184,4655.149359,4541.356874,5019.19507,5080.829572
Pacific island small states,PSS,4663.303292,4882.269718,4994.473013,5168.038678,5406.420959,5600.705215,5700.088939
Post-demographic dividend,PST,37731.08742,39125.77846,40141.32631,41509.16477,42631.4492,43680.26592,44785.63179
French Polynesia,PYF,,,,,,,
Qatar,QAT,122609.4108,129349.9164,127610.2088,126913.0354,127066.8144,127516.9086,127480.4825
Romania,ROU,17164.02157,18095.06192,18983.2731,19859.44727,20609.58353,21566.07305,23027.28926
Russian Federation,RUS,20497.93408,24310.04397,25784.56716,26240.2745,25797.49853,24691.83365,24788.67928
Rwanda,RWA,1325.781621,1421.185929,1535.482646,1592.823423,1698.488244,1827.187134,1912.901182
South Asia,SAS,4088.889815,4371.638167,4631.421188,4924.214115,5284.418149,5677.246264,6064.24454
Saudi Arabia,SAU,44502.41931,48524.63249,50573.39065,51264.86615,52524.05013,54013.87804,54416.61249
Sudan,SDN,3298.004749,3631.663456,4172.538735,4322.99132,4403.425988,4568.664858,4730.461869
Senegal,SEN,2139.815826,2158.181182,2227.468055,2272.532894,2332.485248,2442.643073,2566.119179
Singapore,SGP,70646.82026,75013.18666,77429.42954,81287.83955,84429.52169,86139.08361,87832.58651
Solomon Islands,SLB,1746.765157,1969.206168,2053.59537,2103.955736,2124.488217,2186.633972,2235.314691
Sierra Leone,SLE,1192.596559,1246.252789,1428.535497,1712.832695,1778.969129,1401.333424,1476.21372
El Salvador,SLV,7152.204925,7428.030149,7671.620404,7901.964358,8102.864612,8354.029356,8616.812418
San Marino,SMR,72368.20363,66053.1105,61392.9793,59764.10629,59528.28031,60028.92435,60932.93004
Somalia,SOM,,,,,,,
Serbia,SRB,12087.10105,12967.91864,13107.98274,13760.05208,13771.38428,13896.12139,14514.96055
Sub-Saharan Africa (excluding high income),SSA,3169.376088,3290.030393,3386.166609,3518.546584,3650.246714,3716.969636,3721.708374
South Sudan,SSD,3713.258487,3482.048396,1846.74181,2054.725606,2091.733762,1925.447118,
Sub-Saharan Africa,SSF,3171.092355,3291.897684,3388.153813,3520.636379,3652.379894,3719.148498,3723.968607
Small states,SST,18431.54979,19725.33198,20371.7779,20989.87227,21527.48624,21840.10639,22086.8726
Sao Tome and Principe,STP,2588.079743,2695.629542,2768.233515,2882.867239,3050.626768,3137.939056,3237.392544
Suriname,SUR,13924.39072,14887.93681,15410.99649,15956.949,16092.76485,15724.63939,14966.71379
Slovak Republic,SVK,24986.61281,25835.00476,26647.42196,27897.59857,28927.66876,29522.04477,30460.38408
Slovenia,SVN,27766.42038,28804.70152,28900.87803,29796.81199,30854.09941,31468.36317,32723.07195
Sweden,SWE,41627.97373,43755.06044,44724.97434,45673.17063,46524.18091,47891.27784,48904.55437
Swaziland,SWZ,7148.912703,7323.997665,7667.526813,8139.691092,8275.183022,8261.74606,8329.560581
Sint Maarten (Dutch part),SXM,,36327.2319,,,,,
Seychelles,SYC,19953.1605,22556.58257,24251.52397,25655.82295,26513.49591,27180.61701,28383.89621
Syrian Arab Republic,SYR,,,,,,,
Turks and Caicos Islands,TCA,,,,,,,
Chad,TCD,1886.251061,1863.845605,1999.034948,2077.060248,2183.295992,2180.456026,1990.726657
East Asia & Pacific (IDA & IBRD countries),TEA,8834.644365,9690.912521,10527.17596,11373.83315,12234.79623,13092.22582,13986.62839
Europe & Central Asia (IDA & IBRD countries),TEC,15748.71264,17783.3483,18693.84103,19417.11341,19907.84241,19821.01975,20172.06123
Togo,TGO,1183.839338,1233.834912,1282.532064,1319.659066,1382.88932,1436.897804,1490.536236
Thailand,THA,13213.74775,13535.13327,14714.47502,15293.25799,15616.2615,16225.02695,16913.36608
Tajikistan,TJK,2063.730411,2211.753822,2367.185366,2525.685528,2677.275554,2811.86989,2979.310239
Turkmenistan,TKM,9741.305291,11212.53851,12460.7504,13697.55492,15068.40181,15964.79184,16875.98775
Latin America & the Caribbean (IDA & IBRD countries),TLA,13191.70964,14042.07899,14515.66996,14997.88348,15266.78371,15153.43349,15125.95179
Timor-Leste,TLS,1667.798882,1801.676449,1884.966614,1920.028048,1984.606863,2044.699964,2140.357374
Middle East & North Africa (IDA & IBRD countries),TMN,11660.97011,11617.01721,11642.79699,11881.34538,12235.06797,12348.26182,13214.12255
Tonga,TON,4883.370227,5101.456005,5223.00442,5123.33097,5290.028394,5526.478696,5745.191229
South Asia (IDA & IBRD),TSA,4088.889815,4371.638167,4631.421188,4924.214115,5284.418149,5677.246264,6064.24454
Sub-Saharan Africa (IDA & IBRD countries),TSS,3171.092355,3291.897684,3388.153813,3520.636379,3652.379894,3719.148498,3723.968607
Trinidad and Tobago,TTO,30628.54176,31012.71642,31830.51803,33038.96777,33218.14426,33312.64211,32854.71906
Tunisia,TUN,10225.25223,10120.67717,10595.87444,10947.91384,11303.58464,11447.1428,11595.51238
Turkey,TUR,17442.85995,19660.88949,20639.85867,22310.5364,24029.74348,24844.89555,25247.20175
Tuvalu,TUV,2945.718682,3230.929323,3266.373502,3333.00182,3433.563952,3539.393513,3651.021484
Tanzania,TZA,2048.293593,2186.131582,2268.866465,2397.212978,2525.458722,2652.531647,2786.272243
Uganda,UGA,1485.202679,1602.544811,1638.068089,1666.976794,1721.357046,1774.010819,1819.434351
Ukraine,UKR,7666.219577,8281.867126,8475.471746,8629.676994,8666.815601,7949.149002,8269.614634
Upper middle income,UMC,12078.43615,13182.62538,13996.39861,14813.52415,15577.22119,16133.50908,16884.25143
Uruguay,URY,16736.85103,17904.74582,18817.74196,19942.50405,20845.80599,21117.8016,21619.60793
United States,USA,48373.87882,49790.66548,51450.1223,52787.02695,54598.55069,56469.00897,57638.15909
Uzbekistan,UZB,4153.938846,4469.997484,4853.649706,5244.04938,5646.685641,6069.978666,6512.682131
St. Vincent and the Grenadines,VCT,9714.99908,9871.648577,10193.50417,10548.69245,10845.58866,11125.2015,11456.78995
"Venezuela, RB",VEN,16210.28996,16981.33549,18004.46532,18281.19297,17604.95954,,
British Virgin Islands,VGB,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,
Vietnam,VNM,4318.997405,4632.765965,4909.945061,5199.631431,5535.202391,5915.170833,6295.590585
Vanuatu,VUT,2888.398273,2915.299885,2952.568516,2990.96474,3040.877283,2988.850538,3080.565754
World,WLD,12838.62669,13552.23675,14086.31282,14679.01544,15227.48342,15694.43056,16214.92699
Samoa,WSM,5290.660663,5667.490534,5748.263641,5681.20542,5794.187893,5919.359821,6378.256567
Kosovo,XKX,7716.611869,8169.283992,8486.14089,8827.449344,9088.820797,9687.21772,10063.75848
"Yemen, Rep.",YEM,4388.144847,3805.237994,3863.289475,4007.8267,3960.24964,2812.355797,2507.471662
South Africa,ZAF,11647.32742,12118.73786,12440.25157,12770.49388,13007.64072,13164.47593,13196.81123
Zambia,ZMB,3212.941881,3361.112069,3574.05852,3701.392674,3819.050324,3862.478483,3933.06646
Zimbabwe,ZWE,1445.042395,1667.13795,1905.83788,1997.052201,2024.003859,2036.31926,2027.084917